#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	RPE65	9606.ENSP00000359245	9606.ENSP00000262340	0	0	0	0	0.049	0	0	0.808	0.809
HOXA7	HOXB6	9606.ENSP00000242159	9606.ENSP00000420009	0	0	0	0.847	0.175	0.800	0	0.654	0.844
HOXB4	HOXB5	9606.ENSP00000328928	9606.ENSP00000239151	0	0	0	0.832	0.363	0.800	0	0.771	0.884
HOXB4	HOXB7	9606.ENSP00000328928	9606.ENSP00000239165	0	0	0	0.824	0.175	0.820	0	0.824	0.867
HOXB4	HOXD4	9606.ENSP00000328928	9606.ENSP00000302548	0	0	0	0.930	0.107	0.800	0	0.733	0.823
HOXB4	HOXC5	9606.ENSP00000328928	9606.ENSP00000309336	0	0	0	0.826	0.168	0.800	0	0.658	0.846
HOXB4	HOXC4	9606.ENSP00000328928	9606.ENSP00000399808	0	0	0	0.940	0.172	0.800	0	0.773	0.835
HOXB4	HOXB6	9606.ENSP00000328928	9606.ENSP00000420009	0	0	0	0.830	0.343	0.800	0	0.777	0.880
HOXB5	HOXD4	9606.ENSP00000239151	9606.ENSP00000302548	0	0	0	0.825	0.147	0.800	0	0.646	0.841
HOXB5	HOXC5	9606.ENSP00000239151	9606.ENSP00000309336	0	0	0	0.896	0.205	0.800	0	0.684	0.845
HOXB5	HOXB7	9606.ENSP00000239151	9606.ENSP00000239165	0	0	0	0.850	0.330	0.800	0	0.734	0.875
HOXB5	HOXC4	9606.ENSP00000239151	9606.ENSP00000399808	0	0	0	0.829	0.195	0.853	0	0.659	0.890
HOXB5	HOXB6	9606.ENSP00000239151	9606.ENSP00000420009	0	0	0	0.855	0.699	0.800	0	0.802	0.944
HOXB6	HOXB7	9606.ENSP00000420009	9606.ENSP00000239165	0	0	0	0.866	0.318	0.835	0	0.719	0.894
HOXB6	HOXD4	9606.ENSP00000420009	9606.ENSP00000302548	0	0	0	0.828	0.117	0.800	0	0.608	0.834
HOXB6	HOXC5	9606.ENSP00000420009	9606.ENSP00000309336	0	0	0	0.830	0.159	0.800	0	0.644	0.843
HOXB6	HOXC4	9606.ENSP00000420009	9606.ENSP00000399808	0	0	0	0.827	0.154	0.800	0	0.556	0.840
HOXB7	HOXC5	9606.ENSP00000239165	9606.ENSP00000309336	0	0	0	0.836	0.117	0.800	0	0.464	0.829
HOXB7	HOXD4	9606.ENSP00000239165	9606.ENSP00000302548	0	0	0	0.846	0.107	0.800	0	0.652	0.832
HOXB7	HOXC4	9606.ENSP00000239165	9606.ENSP00000399808	0	0	0	0.836	0.111	0.820	0	0.714	0.852
HOXC4	HOXD4	9606.ENSP00000399808	9606.ENSP00000302548	0	0	0	0.935	0.152	0.800	0	0.712	0.831
HOXC4	HOXC5	9606.ENSP00000399808	9606.ENSP00000309336	0	0	0	0.831	0.491	0.800	0	0.887	0.909
HOXC5	HOXD4	9606.ENSP00000309336	9606.ENSP00000302548	0	0	0	0.846	0.160	0.800	0	0.632	0.841
IGF1	KDR	9606.ENSP00000302665	9606.ENSP00000263923	0	0	0	0	0.062	0	0.600	0.627	0.848
MITF	TYR	9606.ENSP00000295600	9606.ENSP00000263321	0	0	0	0	0.178	0.182	0	0.905	0.930
MITF	TYRP1	9606.ENSP00000295600	9606.ENSP00000373570	0	0	0	0	0.136	0	0	0.894	0.905
NEUROD6	TBR1	9606.ENSP00000297142	9606.ENSP00000374205	0	0	0	0	0.353	0.058	0	0.584	0.725
PAX2	TLX1	9606.ENSP00000359319	9606.ENSP00000359215	0	0	0	0	0	0.076	0	0.958	0.961
SLC17A7	SLC6A5	9606.ENSP00000221485	9606.ENSP00000434364	0	0	0	0	0.136	0	0	0.670	0.702
SLC17A7	TBR1	9606.ENSP00000221485	9606.ENSP00000374205	0	0	0	0	0.214	0.058	0	0.663	0.729
SLC17A7	SLC18A3	9606.ENSP00000221485	9606.ENSP00000363229	0	0	0	0	0.069	0	0.800	0.835	0.966
SLC18A3	SLC5A7	9606.ENSP00000363229	9606.ENSP00000264047	0	0	0	0	0.489	0	0	0.887	0.940
SLC22A8	SLCO1B3	9606.ENSP00000337335	9606.ENSP00000261196	0	0	0	0	0.052	0	0	0.835	0.837
SLC22A8	SLCO1B3-SLCO1B7	9606.ENSP00000337335	9606.ENSP00000441269	0	0	0	0	0.052	0	0	0.835	0.837
SLC30A3	SLC39A12	9606.ENSP00000233535	9606.ENSP00000366586	0.051	0	0	0	0.076	0.146	0	0.662	0.713
TLX1	TLX1NB	9606.ENSP00000359215	9606.ENSP00000475001	0	0	0	0	0	0	0	0.764	0.764
TYR	TYRP1	9606.ENSP00000263321	9606.ENSP00000373570	0	0	0	0.901	0.783	0.500	0	0.959	0.897
