#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADACL4	LY6G6C	9606.ENSP00000365395	9606.ENSP00000364978	0	0	0	0	0	0	0	0.187	0.187
ACTG2	MYC	9606.ENSP00000386857	9606.ENSP00000479618	0	0	0	0	0.049	0.056	0	0.204	0.223
ACTG2	VEGFA	9606.ENSP00000386857	9606.ENSP00000478570	0	0	0	0	0	0	0	0.225	0.225
ACTG2	TGFBI	9606.ENSP00000386857	9606.ENSP00000416330	0	0	0	0	0.064	0	0	0.207	0.226
ACTG2	SERPINH1	9606.ENSP00000386857	9606.ENSP00000434412	0	0	0	0	0.086	0	0	0.193	0.231
ACTG2	CHI3L2	9606.ENSP00000386857	9606.ENSP00000437082	0	0	0	0	0	0.146	0	0.206	0.293
ACTG2	ANXA8	9606.ENSP00000386857	9606.ENSP00000478026	0	0	0	0	0.048	0.078	0	0.336	0.366
ADAMTS9	OSM	9606.ENSP00000418735	9606.ENSP00000215781	0	0	0	0	0	0	0	0.183	0.183
ADAMTS9	TIMP1	9606.ENSP00000418735	9606.ENSP00000218388	0	0	0	0	0	0	0	0.274	0.274
ADAMTS9	COL1A1	9606.ENSP00000418735	9606.ENSP00000225964	0	0	0	0	0.085	0.077	0	0.208	0.273
ADAMTS9	LOX	9606.ENSP00000418735	9606.ENSP00000231004	0	0	0	0	0.067	0.064	0	0.143	0.187
ADAMTS9	BCO1	9606.ENSP00000418735	9606.ENSP00000258168	0	0	0	0	0	0	0	0.177	0.177
ADAMTS9	THBS1	9606.ENSP00000418735	9606.ENSP00000260356	0	0	0	0.541	0.054	0.123	0.900	0.309	0.921
ADAMTS9	IL1B	9606.ENSP00000418735	9606.ENSP00000263341	0	0	0	0	0	0	0	0.156	0.155
ADAMTS9	STC2	9606.ENSP00000418735	9606.ENSP00000265087	0	0	0	0	0.063	0	0	0.166	0.185
ADAMTS9	MMP19	9606.ENSP00000418735	9606.ENSP00000313437	0	0	0	0	0	0.066	0	0.307	0.325
ADAMTS9	PAPPA	9606.ENSP00000418735	9606.ENSP00000330658	0	0	0	0	0.068	0	0	0.216	0.238
ADAMTS9	C2CD4A	9606.ENSP00000418735	9606.ENSP00000347712	0	0	0	0	0.062	0	0	0.391	0.404
ADAMTS9	ADAMTSL4	9606.ENSP00000418735	9606.ENSP00000358035	0	0	0	0.629	0	0	0.900	0.599	0.921
ADAMTS9	COL4A1	9606.ENSP00000418735	9606.ENSP00000364979	0	0	0	0	0.158	0.081	0	0.290	0.403
ADAMTS9	VEGFA	9606.ENSP00000418735	9606.ENSP00000478570	0	0	0	0	0	0	0	0.181	0.181
ADAMTSL4	COL1A1	9606.ENSP00000358035	9606.ENSP00000225964	0	0	0	0	0.061	0.135	0	0.118	0.221
ADAMTSL4	LOX	9606.ENSP00000358035	9606.ENSP00000231004	0	0	0	0	0.062	0.211	0	0.249	0.396
ADAMTSL4	THBS1	9606.ENSP00000358035	9606.ENSP00000260356	0	0	0	0.541	0.089	0.074	0.900	0.156	0.913
ADAMTSL4	LHX4	9606.ENSP00000358035	9606.ENSP00000263726	0	0	0	0	0	0.168	0	0	0.167
ADAMTSL4	SECTM1	9606.ENSP00000358035	9606.ENSP00000269389	0	0	0	0	0.123	0	0	0.084	0.162
ADAMTSL4	ITGA5	9606.ENSP00000358035	9606.ENSP00000293379	0	0	0	0	0.161	0	0	0.070	0.187
ADAMTSL4	TM4SF1	9606.ENSP00000358035	9606.ENSP00000304277	0	0	0	0	0	0	0	0.289	0.288
ADAMTSL4	VASN	9606.ENSP00000358035	9606.ENSP00000306864	0	0	0	0	0.068	0.142	0	0	0.166
ADAMTSL4	CATSPER1	9606.ENSP00000358035	9606.ENSP00000309052	0	0	0	0	0.085	0.130	0	0.047	0.175
ADAMTSL4	RIPK4	9606.ENSP00000358035	9606.ENSP00000332454	0	0	0	0	0	0.059	0	0.211	0.225
ADAMTSL4	SLC16A3	9606.ENSP00000358035	9606.ENSP00000463978	0	0	0	0	0.117	0	0	0.086	0.159
ADAMTSL4	STEAP4	9606.ENSP00000358035	9606.ENSP00000369419	0	0	0	0	0.085	0	0	0.205	0.242
ADAMTSL4	ANKRD22	9606.ENSP00000358035	9606.ENSP00000360998	0	0	0	0	0	0.059	0	0.254	0.268
ADAMTSL4	COL4A1	9606.ENSP00000358035	9606.ENSP00000364979	0	0	0	0	0.062	0.135	0	0.215	0.307
ADAMTSL4	MFAP2	9606.ENSP00000358035	9606.ENSP00000364685	0	0	0	0	0.062	0	0	0.403	0.416
ADM	GADD45B	9606.ENSP00000436607	9606.ENSP00000215631	0	0	0	0	0.100	0	0	0.116	0.170
ADM	TIMP1	9606.ENSP00000436607	9606.ENSP00000218388	0	0	0	0	0.098	0	0	0.293	0.335
ADM	SERPINE1	9606.ENSP00000436607	9606.ENSP00000223095	0	0	0	0	0.152	0	0	0.391	0.462
ADM	CCL2	9606.ENSP00000436607	9606.ENSP00000225831	0	0	0	0	0.087	0	0	0.390	0.419
ADM	LOX	9606.ENSP00000436607	9606.ENSP00000231004	0	0	0	0	0.117	0	0	0.175	0.241
ADM	LIF	9606.ENSP00000436607	9606.ENSP00000249075	0	0	0	0	0.078	0	0	0.163	0.195
ADM	FABP4	9606.ENSP00000436607	9606.ENSP00000256104	0	0	0	0	0	0	0	0.181	0.181
ADM	THBS1	9606.ENSP00000436607	9606.ENSP00000260356	0	0	0	0	0.098	0	0	0.273	0.316
ADM	IL1B	9606.ENSP00000436607	9606.ENSP00000263341	0	0	0	0	0.065	0	0	0.458	0.471
ADM	STC2	9606.ENSP00000436607	9606.ENSP00000265087	0	0	0	0	0.077	0	0	0.135	0.168
ADM	PDPN	9606.ENSP00000436607	9606.ENSP00000294489	0	0	0	0	0	0	0	0.181	0.181
ADM	GPR182	9606.ENSP00000436607	9606.ENSP00000300098	0	0	0	0	0	0	0	0.825	0.825
ADM	ANGPTL4	9606.ENSP00000436607	9606.ENSP00000301455	0	0	0	0	0.082	0	0	0.290	0.320
ADM	TM4SF1	9606.ENSP00000436607	9606.ENSP00000304277	0	0	0	0	0.076	0	0	0.623	0.636
ADM	FOSL1	9606.ENSP00000436607	9606.ENSP00000310170	0	0	0	0	0.138	0	0	0.067	0.161
ADM	CXCR2	9606.ENSP00000436607	9606.ENSP00000319635	0	0	0	0	0	0	0	0.158	0.157
ADM	TNFRSF12A	9606.ENSP00000436607	9606.ENSP00000326737	0	0	0	0	0.149	0	0	0.075	0.179
ADM	SOCS1	9606.ENSP00000436607	9606.ENSP00000329418	0	0	0	0	0.085	0	0	0.548	0.569
ADM	SOCS3	9606.ENSP00000436607	9606.ENSP00000330341	0	0	0	0	0.118	0	0	0.169	0.236
ADM	PAPPA	9606.ENSP00000436607	9606.ENSP00000330658	0	0	0	0	0	0	0	0.193	0.193
ADM	CALCA	9606.ENSP00000436607	9606.ENSP00000331746	0	0	0	0	0	0	0.800	0.878	0.974
ADM	F3	9606.ENSP00000436607	9606.ENSP00000334145	0	0	0	0	0.071	0	0	0.207	0.232
ADM	PLAUR	9606.ENSP00000436607	9606.ENSP00000339328	0	0	0	0	0.135	0	0	0.235	0.309
ADM	ZC3H12A	9606.ENSP00000436607	9606.ENSP00000362179	0	0	0	0	0.089	0	0	0.111	0.156
ADM	THBD	9606.ENSP00000436607	9606.ENSP00000366307	0	0	0	0	0.070	0	0	0.182	0.206
ADM	TYMP	9606.ENSP00000436607	9606.ENSP00000379038	0	0	0	0	0	0	0	0.323	0.323
ADM	IL6	9606.ENSP00000436607	9606.ENSP00000385675	0	0	0	0	0.098	0	0	0.517	0.545
ADM	CEBPD	9606.ENSP00000436607	9606.ENSP00000386165	0	0	0	0	0.096	0	0	0.134	0.183
ADM	CD44	9606.ENSP00000436607	9606.ENSP00000398632	0	0	0	0	0.076	0	0	0.120	0.152
ADM	SLC16A3	9606.ENSP00000436607	9606.ENSP00000463978	0	0	0	0	0.098	0	0	0.154	0.204
ADM	MYC	9606.ENSP00000436607	9606.ENSP00000479618	0	0	0	0	0	0	0	0.204	0.204
ADM	PGF	9606.ENSP00000436607	9606.ENSP00000451040	0	0	0	0	0	0	0	0.391	0.390
ADM	VEGFA	9606.ENSP00000436607	9606.ENSP00000478570	0	0	0	0	0.077	0	0	0.594	0.609
ALOX15B	CCL2	9606.ENSP00000369530	9606.ENSP00000225831	0	0	0	0	0	0	0	0.182	0.181
ALOX15B	LOX	9606.ENSP00000369530	9606.ENSP00000231004	0	0	0	0	0	0	0	0.681	0.681
ALOX15B	LIF	9606.ENSP00000369530	9606.ENSP00000249075	0	0	0	0	0	0	0.900	0	0.900
ALOX15B	IL1B	9606.ENSP00000369530	9606.ENSP00000263341	0	0	0	0	0.076	0	0	0.218	0.246
ALOX15B	CD163	9606.ENSP00000369530	9606.ENSP00000352071	0	0	0	0	0.097	0	0	0.155	0.204
ALOX15B	VEGFA	9606.ENSP00000369530	9606.ENSP00000478570	0	0	0	0	0	0	0	0.157	0.156
ALOX15B	IL6	9606.ENSP00000369530	9606.ENSP00000385675	0	0	0	0	0	0	0	0.173	0.173
AMBN	COL1A1	9606.ENSP00000313809	9606.ENSP00000225964	0	0	0	0	0	0	0	0.246	0.245
AMBN	MMP19	9606.ENSP00000313809	9606.ENSP00000313437	0	0	0	0	0	0	0	0.302	0.302
AMBN	SERPINH1	9606.ENSP00000313809	9606.ENSP00000434412	0	0	0	0	0	0	0	0.167	0.167
AMBN	SLC34A2	9606.ENSP00000313809	9606.ENSP00000371483	0	0	0	0	0	0	0	0.194	0.194
ANGPTL4	PRSS21	9606.ENSP00000301455	9606.ENSP00000005995	0	0	0	0	0	0.056	0	0.166	0.179
ANGPTL4	GADD45B	9606.ENSP00000301455	9606.ENSP00000215631	0	0	0	0	0	0	0	0.210	0.210
ANGPTL4	OSM	9606.ENSP00000301455	9606.ENSP00000215781	0	0	0	0	0	0	0	0.169	0.169
ANGPTL4	TIMP1	9606.ENSP00000301455	9606.ENSP00000218388	0	0	0	0	0.081	0	0	0.290	0.320
ANGPTL4	TFPI2	9606.ENSP00000301455	9606.ENSP00000222543	0	0	0	0	0.090	0	0	0.180	0.222
ANGPTL4	SERPINE1	9606.ENSP00000301455	9606.ENSP00000223095	0	0	0	0	0.095	0.062	0	0.419	0.463
ANGPTL4	CCL2	9606.ENSP00000301455	9606.ENSP00000225831	0	0	0	0	0.065	0	0	0.400	0.415
ANGPTL4	COL1A1	9606.ENSP00000301455	9606.ENSP00000225964	0	0	0	0	0.069	0	0	0.236	0.258
ANGPTL4	LOX	9606.ENSP00000301455	9606.ENSP00000231004	0	0	0	0	0.070	0	0	0.451	0.467
ANGPTL4	LILRB3	9606.ENSP00000301455	9606.ENSP00000245620	0	0	0	0	0	0	0	0.164	0.163
ANGPTL4	LIF	9606.ENSP00000301455	9606.ENSP00000249075	0	0	0	0	0.069	0	0	0.131	0.156
ANGPTL4	CHI3L1	9606.ENSP00000301455	9606.ENSP00000255409	0	0	0	0	0.062	0	0	0.185	0.203
ANGPTL4	FABP4	9606.ENSP00000301455	9606.ENSP00000256104	0	0	0	0	0.082	0	0	0.488	0.510
ANGPTL4	TLR2	9606.ENSP00000301455	9606.ENSP00000260010	0	0	0	0	0	0.056	0	0.166	0.179
ANGPTL4	THBS1	9606.ENSP00000301455	9606.ENSP00000260356	0	0	0	0	0	0.082	0	0.290	0.320
ANGPTL4	LOXL4	9606.ENSP00000301455	9606.ENSP00000260702	0	0	0	0	0.062	0	0	0.348	0.363
ANGPTL4	IL1B	9606.ENSP00000301455	9606.ENSP00000263341	0	0	0	0	0	0	0	0.391	0.390
ANGPTL4	CP	9606.ENSP00000301455	9606.ENSP00000264613	0	0	0	0	0.064	0	0	0.132	0.152
ANGPTL4	STC2	9606.ENSP00000301455	9606.ENSP00000265087	0	0	0	0	0	0	0	0.248	0.248
ANGPTL4	OSMR	9606.ENSP00000301455	9606.ENSP00000274276	0	0	0	0	0.077	0	0	0.135	0.167
ANGPTL4	ITGA5	9606.ENSP00000301455	9606.ENSP00000293379	0	0	0	0	0.066	0.056	0	0.408	0.433
ANGPTL4	PDPN	9606.ENSP00000301455	9606.ENSP00000294489	0	0	0	0	0	0	0	0.156	0.155
ANGPTL4	RRAD	9606.ENSP00000301455	9606.ENSP00000299759	0	0	0	0	0.071	0.056	0	0.148	0.187
ANGPTL4	VDR	9606.ENSP00000301455	9606.ENSP00000447173	0	0	0	0	0	0.058	0	0.142	0.157
ANGPTL4	MMP19	9606.ENSP00000301455	9606.ENSP00000313437	0	0	0	0	0.061	0.070	0	0.116	0.161
ANGPTL4	CDKN1A	9606.ENSP00000301455	9606.ENSP00000384849	0	0	0	0	0.065	0	0	0.143	0.164
ANGPTL4	CR2	9606.ENSP00000301455	9606.ENSP00000356024	0	0	0	0	0	0.158	0	0.054	0.169
ANGPTL4	FOSL1	9606.ENSP00000301455	9606.ENSP00000310170	0	0	0	0	0.064	0	0	0.150	0.170
ANGPTL4	CCL20	9606.ENSP00000301455	9606.ENSP00000351671	0	0	0	0	0	0	0	0.171	0.171
ANGPTL4	CH25H	9606.ENSP00000301455	9606.ENSP00000360918	0	0	0	0	0.173	0	0	0	0.173
ANGPTL4	CD44	9606.ENSP00000301455	9606.ENSP00000398632	0	0	0	0	0	0	0	0.189	0.189
ANGPTL4	TNFRSF12A	9606.ENSP00000301455	9606.ENSP00000326737	0	0	0	0	0.063	0	0	0.172	0.191
ANGPTL4	CEBPD	9606.ENSP00000301455	9606.ENSP00000386165	0	0	0	0	0.066	0	0	0.173	0.194
ANGPTL4	SERPINA1	9606.ENSP00000301455	9606.ENSP00000416066	0	0	0	0	0.050	0.062	0	0.170	0.195
ANGPTL4	SPHK1	9606.ENSP00000301455	9606.ENSP00000313681	0	0	0	0	0.076	0	0	0.164	0.196
ANGPTL4	MT1A	9606.ENSP00000301455	9606.ENSP00000478425	0	0	0	0	0.097	0	0	0.152	0.202
ANGPTL4	TEAD4	9606.ENSP00000301455	9606.ENSP00000352926	0	0	0	0	0	0	0	0.206	0.206
ANGPTL4	SLC16A3	9606.ENSP00000301455	9606.ENSP00000463978	0	0	0	0	0	0	0	0.211	0.211
ANGPTL4	SOCS3	9606.ENSP00000301455	9606.ENSP00000330341	0	0	0	0	0	0	0	0.229	0.228
ANGPTL4	COL4A1	9606.ENSP00000301455	9606.ENSP00000364979	0	0	0	0	0.076	0	0	0.216	0.244
ANGPTL4	PLAUR	9606.ENSP00000301455	9606.ENSP00000339328	0	0	0	0	0	0	0	0.264	0.264
ANGPTL4	PGF	9606.ENSP00000301455	9606.ENSP00000451040	0	0	0	0	0	0	0	0.287	0.286
ANGPTL4	TGFBI	9606.ENSP00000301455	9606.ENSP00000416330	0	0	0	0	0.082	0	0	0.260	0.292
ANGPTL4	MYC	9606.ENSP00000301455	9606.ENSP00000479618	0	0	0	0	0.062	0.270	0	0.264	0.452
ANGPTL4	IL6	9606.ENSP00000301455	9606.ENSP00000385675	0	0	0	0	0.069	0	0	0.466	0.481
ANGPTL4	VEGFA	9606.ENSP00000301455	9606.ENSP00000478570	0	0	0	0	0.065	0.058	0	0.718	0.730
ANKRD1	TIMP1	9606.ENSP00000360762	9606.ENSP00000218388	0	0	0	0	0.063	0	0	0.161	0.180
ANKRD1	TFPI2	9606.ENSP00000360762	9606.ENSP00000222543	0	0	0	0	0.113	0.062	0	0.095	0.181
ANKRD1	SERPINE1	9606.ENSP00000360762	9606.ENSP00000223095	0	0	0	0	0.146	0.056	0	0.183	0.283
ANKRD1	COL1A1	9606.ENSP00000360762	9606.ENSP00000225964	0	0	0	0	0.090	0.058	0	0.276	0.325
ANKRD1	LOX	9606.ENSP00000360762	9606.ENSP00000231004	0	0	0	0	0.107	0	0	0.125	0.186
ANKRD1	MYBPH	9606.ENSP00000360762	9606.ENSP00000255416	0	0	0	0	0.108	0	0	0.102	0.164
ANKRD1	THBS1	9606.ENSP00000360762	9606.ENSP00000260356	0	0	0	0	0.123	0	0	0.209	0.277
ANKRD1	RAB20	9606.ENSP00000360762	9606.ENSP00000267328	0	0	0	0	0	0.160	0	0.055	0.172
ANKRD1	UNC45B	9606.ENSP00000360762	9606.ENSP00000268876	0	0	0	0	0.352	0	0	0.091	0.386
ANKRD1	KLHL40	9606.ENSP00000360762	9606.ENSP00000287777	0	0	0	0	0.231	0.056	0	0.151	0.330
ANKRD1	RRAD	9606.ENSP00000360762	9606.ENSP00000299759	0	0	0	0	0.080	0.076	0	0.250	0.307
ANKRD1	TM4SF1	9606.ENSP00000360762	9606.ENSP00000304277	0	0	0	0	0.107	0	0	0.247	0.300
ANKRD1	FOSL1	9606.ENSP00000360762	9606.ENSP00000310170	0	0	0	0	0.077	0.056	0	0.189	0.231
ANKRD1	TNFRSF12A	9606.ENSP00000360762	9606.ENSP00000326737	0	0	0	0	0.118	0	0	0.234	0.296
ANKRD1	RIPK4	9606.ENSP00000360762	9606.ENSP00000332454	0	0	0.252	0.626	0	0.120	0	0.081	0.205
ANKRD1	UBL4B	9606.ENSP00000360762	9606.ENSP00000334044	0	0	0	0	0.053	0.144	0	0	0.154
ANKRD1	SFN	9606.ENSP00000360762	9606.ENSP00000340989	0	0	0	0	0	0.102	0	0.099	0.156
ANKRD1	MYBPC2	9606.ENSP00000360762	9606.ENSP00000350332	0	0	0	0	0.062	0	0	0.261	0.277
ANKRD1	TEAD4	9606.ENSP00000360762	9606.ENSP00000352926	0	0	0	0	0.097	0.059	0	0.329	0.381
ANKRD1	S100A8	9606.ENSP00000360762	9606.ENSP00000357722	0	0	0	0	0	0	0	0.430	0.430
ANKRD1	GADD45A	9606.ENSP00000360762	9606.ENSP00000360025	0	0	0	0	0.062	0	0	0.398	0.411
ANKRD1	CDKN1A	9606.ENSP00000360762	9606.ENSP00000384849	0	0	0	0	0	0	0	0.155	0.154
ANKRD1	THBD	9606.ENSP00000360762	9606.ENSP00000366307	0	0	0	0	0.062	0.113	0	0.066	0.155
ANKRD1	GABRP	9606.ENSP00000360762	9606.ENSP00000430100	0	0	0	0	0	0.056	0	0.174	0.186
ANKRD1	CEBPD	9606.ENSP00000360762	9606.ENSP00000386165	0	0	0	0	0	0.058	0	0.178	0.193
