	label	#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
27	1	CEBPD	PIM1	9606.ENSP00000386165	9606.ENSP00000362608	0	0	0	0.0	0.0	0.139	0.9	0.0	0.91
28	1	CEBPD	MYC	9606.ENSP00000386165	9606.ENSP00000479618	0	0	0	0.0	0.063	0.102	0.9	0.394	0.942
29	1	CISH	SOCS1	9606.ENSP00000409346	9606.ENSP00000329418	0	0	0	0.709	0.082	0.0	0.9	0.895	0.929
30	1	CISH	IL2RA	9606.ENSP00000409346	9606.ENSP00000369293	0	0	0	0.0	0.061	0.0	0.9	0.335	0.932
31	1	COL1A1	SERPINH1	9606.ENSP00000225964	9606.ENSP00000434412	0	0	0	0.0	0.4	0.183	0.6	0.665	0.925
32	1	FPR1	PLAUR	9606.ENSP00000471493	9606.ENSP00000339328	0	0	0	0.0	0.141	0.0	0.9	0.83	0.984
33	1	GADD45A	GADD45B	9606.ENSP00000360025	9606.ENSP00000215631	0	0	0	0.951	0.108	0.27	0.9	0.816	0.932
34	1	GBP2	HLA-G	9606.ENSP00000359497	9606.ENSP00000412927	0	0	0	0.0	0.06	0.0	0.9	0.081	0.906
35	1	IL18R1	IL18RAP	9606.ENSP00000387211	9606.ENSP00000264260	0	0	0	0.686	0.526	0.8	0.9	0.975	0.992
36	1	IL1B	OSM	9606.ENSP00000263341	9606.ENSP00000215781	0	0	0	0.0	0.361	0.0	0.0	0.91	0.94
37	1	IL1B	LIF	9606.ENSP00000263341	9606.ENSP00000249075	0	0	0	0.0	0.069	0.0	0.9	0.594	0.958
38	1	IL1B	TLR2	9606.ENSP00000263341	9606.ENSP00000260010	0	0	0	0.0	0.28	0.0	0.0	0.883	0.912
39	1	IL1B	IL6	9606.ENSP00000263341	9606.ENSP00000385675	0	0	0	0.0	0.427	0.0	0.9	0.953	0.997
40	1	IL1B	IL1R2	9606.ENSP00000263341	9606.ENSP00000330959	0	0	0	0.0	0.197	0.837	0.9	0.988	0.999
41	1	IL2RA	SOCS1	9606.ENSP00000369293	9606.ENSP00000329418	0	0	0	0.0	0.0	0.0	0.9	0.401	0.937
42	1	IL2RA	SOCS3	9606.ENSP00000369293	9606.ENSP00000330341	0	0	0	0.0	0.062	0.0	0.9	0.323	0.93
43	1	IL6	OSM	9606.ENSP00000385675	9606.ENSP00000215781	0	0	0	0.0	0.097	0.27	0.9	0.76	0.982
44	1	IL6	TIMP1	9606.ENSP00000385675	9606.ENSP00000218388	0	0	0	0.0	0.1	0.0	0.9	0.74	0.974
45	1	IL6	LIF	9606.ENSP00000385675	9606.ENSP00000249075	0	0	0	0.0	0.178	0.0	0.9	0.761	0.978
46	1	IL6	SOCS3	9606.ENSP00000385675	9606.ENSP00000330341	0	0	0	0.0	0.209	0.0	0.9	0.814	0.984
47	1	IL6	VEGFA	9606.ENSP00000385675	9606.ENSP00000478570	0	0	0	0.0	0.063	0.0	0.9	0.879	0.987
48	1	ITGA5	PLAUR	9606.ENSP00000293379	9606.ENSP00000339328	0	0	0	0.0	0.17	0.0	0.9	0.346	0.941
49	1	LIF	OSM	9606.ENSP00000249075	9606.ENSP00000215781	0	0	0	0.0	0.0	0.0	0.6	0.835	0.931
50	1	LIF	TIMP1	9606.ENSP00000249075	9606.ENSP00000218388	0	0	0	0.0	0.098	0.0	0.9	0.335	0.934
51	1	LIF	VEGFA	9606.ENSP00000249075	9606.ENSP00000478570	0	0	0	0.0	0.093	0.0	0.9	0.598	0.96
52	1	LOX	LOXL4	9606.ENSP00000231004	9606.ENSP00000260702	0	0	0	0.817	0.119	0.0	0.9	0.8	0.921
53	1	LOX	MFAP2	9606.ENSP00000231004	9606.ENSP00000364685	0	0	0	0.0	0.127	0.0	0.9	0.465	0.949
54	1	LOXL4	MFAP2	9606.ENSP00000260702	9606.ENSP00000364685	0	0	0	0.0	0.06	0.0	0.9	0.209	0.919
55	1	MYC	PIM1	9606.ENSP00000479618	9606.ENSP00000362608	0	0	0	0.0	0.097	0.496	0.9	0.489	0.973
56	1	OSM	TIMP1	9606.ENSP00000215781	9606.ENSP00000218388	0	0	0	0.0	0.0	0.0	0.9	0.468	0.944
57	1	OSM	VEGFA	9606.ENSP00000215781	9606.ENSP00000478570	0	0	0	0.0	0.0	0.0	0.9	0.52	0.949
58	1	OSM	OSMR	9606.ENSP00000215781	9606.ENSP00000274276	0	0	0	0.0	0.062	0.493	0.8	0.975	0.997
59	1	PGF	VEGFA	9606.ENSP00000451040	9606.ENSP00000478570	0	0	0	0.897	0.0	0.83	0.9	0.988	0.984
60	1	PLAUR	SERPINE1	9606.ENSP00000339328	9606.ENSP00000223095	0	0	0	0.0	0.162	0.0	0.9	0.989	0.999
61	1	S100A8	S100A9	9606.ENSP00000357722	9606.ENSP00000357727	0	0	0	0.801	0.995	0.95	0.9	0.987	0.999
62	1	THBS1	VEGFA	9606.ENSP00000260356	9606.ENSP00000478570	0	0	0	0.0	0.0	0.27	0.0	0.895	0.92
