#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC6	SLC22A3	9606.ENSP00000205557	9606.ENSP00000275300	0	0	0	0	0.062	0.064	0	0.377	0.405
CCRL2	PTPN22	9606.ENSP00000349967	9606.ENSP00000352833	0	0	0	0	0.102	0	0	0.458	0.492
CCRL2	CXCL2	9606.ENSP00000349967	9606.ENSP00000427279	0	0	0	0	0.145	0	0	0.468	0.526
CCRL2	CD44	9606.ENSP00000349967	9606.ENSP00000398632	0	0	0	0	0.077	0	0	0.518	0.536
CCRL2	PRF1	9606.ENSP00000349967	9606.ENSP00000398568	0	0	0	0	0.088	0	0	0.517	0.540
CCRL2	CXCL1	9606.ENSP00000349967	9606.ENSP00000379110	0	0	0	0	0.123	0	0	0.556	0.594
CD209	CLEC1A	9606.ENSP00000315477	9606.ENSP00000326407	0	0	0	0	0.064	0	0	0.400	0.415
CD209	CXCR4	9606.ENSP00000315477	9606.ENSP00000386884	0	0	0	0	0	0	0	0.594	0.594
CD44	SERPINE1	9606.ENSP00000398632	9606.ENSP00000223095	0	0	0	0	0.130	0	0	0.423	0.476
CD44	CSF3	9606.ENSP00000398632	9606.ENSP00000225474	0	0	0	0	0	0	0	0.503	0.503
CD44	COL1A1	9606.ENSP00000398632	9606.ENSP00000225964	0	0	0	0	0.085	0.213	0.600	0.478	0.829
CD44	TWIST1	9606.ENSP00000398632	9606.ENSP00000242261	0	0	0	0	0.056	0	0.800	0.702	0.939
CD44	KLF2	9606.ENSP00000398632	9606.ENSP00000248071	0	0	0	0	0.069	0	0	0.417	0.434
CD44	LYVE1	9606.ENSP00000398632	9606.ENSP00000256178	0	0	0	0.632	0	0	0.900	0.942	0.934
CD44	CDH1	9606.ENSP00000398632	9606.ENSP00000261769	0	0	0	0	0	0	0	0.783	0.783
CD44	LAMC2	9606.ENSP00000398632	9606.ENSP00000264144	0	0	0	0	0.062	0	0.600	0.325	0.724
CD44	LUM	9606.ENSP00000398632	9606.ENSP00000266718	0	0	0	0	0.089	0	0	0.506	0.531
CD44	VCAM1	9606.ENSP00000398632	9606.ENSP00000294728	0	0	0	0	0.063	0	0	0.950	0.952
CD44	COL6A3	9606.ENSP00000398632	9606.ENSP00000295550	0	0	0	0	0.073	0	0.600	0.202	0.678
CD44	COL6A2	9606.ENSP00000398632	9606.ENSP00000300527	0	0	0	0	0.076	0	0.600	0.156	0.660
CD44	MMP14	9606.ENSP00000398632	9606.ENSP00000308208	0	0	0	0	0.111	0	0	0.988	0.989
CD44	PGR	9606.ENSP00000398632	9606.ENSP00000325120	0	0	0	0	0	0	0	0.556	0.556
CD44	SELE	9606.ENSP00000398632	9606.ENSP00000331736	0	0	0	0	0	0.478	0.600	0.989	0.997
CD44	FN1	9606.ENSP00000398632	9606.ENSP00000346839	0	0	0	0	0.062	0.270	0.800	0.989	0.998
CD44	EPHA2	9606.ENSP00000398632	9606.ENSP00000351209	0	0	0	0	0.062	0.142	0	0.389	0.465
CD44	KRT19	9606.ENSP00000398632	9606.ENSP00000355124	0	0	0	0	0	0	0	0.627	0.627
CD44	CFH	9606.ENSP00000398632	9606.ENSP00000356399	0	0	0	0	0.097	0	0	0.699	0.716
CD44	PLAU	9606.ENSP00000398632	9606.ENSP00000361850	0	0	0	0	0.124	0	0	0.408	0.459
CD44	KLF4	9606.ENSP00000398632	9606.ENSP00000363804	0	0	0	0	0.070	0	0	0.631	0.642
CD44	COL2A1	9606.ENSP00000398632	9606.ENSP00000369889	0	0	0	0	0	0	0.600	0.431	0.762
CD44	MSX1	9606.ENSP00000398632	9606.ENSP00000372170	0	0	0	0	0	0	0	0.726	0.726
CD44	GPC3	9606.ENSP00000398632	9606.ENSP00000377836	0	0	0	0	0	0	0	0.595	0.595
CD44	SPP1	9606.ENSP00000398632	9606.ENSP00000378517	0	0	0	0	0.062	0.627	0.800	0.989	0.999
CD44	CXCL1	9606.ENSP00000398632	9606.ENSP00000379110	0	0	0	0	0.117	0	0	0.473	0.515
CD44	RUNX3	9606.ENSP00000398632	9606.ENSP00000382800	0	0	0	0	0.076	0	0	0.390	0.412
CD44	CXCR4	9606.ENSP00000398632	9606.ENSP00000386884	0	0	0	0	0.063	0	0	0.926	0.928
CD44	CXCR6	9606.ENSP00000398632	9606.ENSP00000395704	0	0	0	0	0.062	0	0	0.391	0.404
CD44	PRF1	9606.ENSP00000398632	9606.ENSP00000398568	0	0	0	0	0	0	0	0.563	0.563
CD44	CXCL2	9606.ENSP00000398632	9606.ENSP00000427279	0	0	0	0	0.098	0	0	0.389	0.426
CD44	VIM	9606.ENSP00000398632	9606.ENSP00000446007	0	0	0	0	0.118	0	0	0.590	0.623
CD44	PRG4	9606.ENSP00000398632	9606.ENSP00000399679	0	0	0	0	0	0	0	0.842	0.843
CDC45	CEP55	9606.ENSP00000405726	9606.ENSP00000360540	0	0	0	0	0.833	0.464	0	0.218	0.924
CDH1	SERPINE1	9606.ENSP00000261769	9606.ENSP00000223095	0	0	0	0	0	0	0	0.559	0.559
CDH1	COL1A1	9606.ENSP00000261769	9606.ENSP00000225964	0	0	0	0	0	0.056	0	0.427	0.436
CDH1	TWIST1	9606.ENSP00000261769	9606.ENSP00000242261	0	0	0	0	0.049	0	0	0.860	0.861
CDH1	KLF2	9606.ENSP00000261769	9606.ENSP00000248071	0	0	0	0	0.049	0.056	0	0.404	0.419
CDH1	DSG2	9606.ENSP00000261769	9606.ENSP00000261590	0	0	0	0.699	0.199	0.097	0	0.755	0.415
CDH1	SELE	9606.ENSP00000261769	9606.ENSP00000331736	0	0	0	0	0	0.056	0	0.393	0.402
CDH1	KRT17	9606.ENSP00000261769	9606.ENSP00000308452	0	0	0	0	0.084	0	0	0.413	0.439
CDH1	SIX2	9606.ENSP00000261769	9606.ENSP00000304502	0	0	0	0	0	0	0	0.462	0.462
CDH1	VCAM1	9606.ENSP00000261769	9606.ENSP00000294728	0	0	0	0	0	0	0	0.469	0.469
CDH1	SFRP2	9606.ENSP00000261769	9606.ENSP00000274063	0	0	0	0	0	0.214	0	0.402	0.510
CDH1	RUNX3	9606.ENSP00000261769	9606.ENSP00000382800	0	0	0	0	0	0	0	0.517	0.517
CDH1	PCSK9	9606.ENSP00000261769	9606.ENSP00000303208	0	0	0	0	0.072	0.056	0	0.492	0.517
CDH1	TACSTD2	9606.ENSP00000261769	9606.ENSP00000360269	0	0	0	0	0.319	0	0	0.346	0.536
CDH1	SPP1	9606.ENSP00000261769	9606.ENSP00000378517	0	0	0	0	0.062	0	0	0.539	0.550
CDH1	PLAU	9606.ENSP00000261769	9606.ENSP00000361850	0	0	0	0	0	0	0	0.608	0.608
CDH1	MMP14	9606.ENSP00000261769	9606.ENSP00000308208	0	0	0	0	0	0.058	0	0.601	0.608
CDH1	FOXC2	9606.ENSP00000261769	9606.ENSP00000326371	0	0	0	0	0	0	0	0.644	0.644
CDH1	PGR	9606.ENSP00000261769	9606.ENSP00000325120	0	0	0	0	0.065	0	0	0.681	0.688
CDH1	CXCR4	9606.ENSP00000261769	9606.ENSP00000386884	0	0	0	0	0	0.057	0	0.685	0.691
CDH1	KRT19	9606.ENSP00000261769	9606.ENSP00000355124	0	0	0	0	0.231	0	0	0.693	0.754
CDH1	KLF4	9606.ENSP00000261769	9606.ENSP00000363804	0	0	0	0	0	0.281	0	0.684	0.763
CDH1	DSP	9606.ENSP00000261769	9606.ENSP00000369129	0	0	0	0	0.255	0.057	0	0.704	0.774
CDH1	VIM	9606.ENSP00000261769	9606.ENSP00000446007	0	0	0	0	0	0	0	0.809	0.809
CDH1	FN1	9606.ENSP00000261769	9606.ENSP00000346839	0	0	0	0	0	0	0	0.869	0.869
CDH1	LAMC2	9606.ENSP00000261769	9606.ENSP00000264144	0	0	0	0	0.108	0	0.900	0.336	0.935
CDH1	EPHA2	9606.ENSP00000261769	9606.ENSP00000351209	0	0	0	0	0.062	0.112	0.900	0.673	0.969
CDRT15	SMCO2	9606.ENSP00000402355	9606.ENSP00000387617	0	0	0	0	0	0	0	0.684	0.684
CEP55	ZPBP	9606.ENSP00000360540	9606.ENSP00000046087	0	0	0	0	0	0	0	0.665	0.665
CETP	FOXC2	9606.ENSP00000200676	9606.ENSP00000326371	0	0	0	0	0	0	0	0.411	0.410
CETP	VCAM1	9606.ENSP00000200676	9606.ENSP00000294728	0	0	0	0	0.083	0	0	0.401	0.428
CETP	NPC1L1	9606.ENSP00000200676	9606.ENSP00000289547	0	0	0	0	0	0	0	0.566	0.566
CETP	CFH	9606.ENSP00000200676	9606.ENSP00000356399	0	0	0	0	0.087	0	0	0.600	0.619
CETP	PCSK9	9606.ENSP00000200676	9606.ENSP00000303208	0	0	0	0	0	0	0	0.763	0.763
CFH	VCAM1	9606.ENSP00000356399	9606.ENSP00000294728	0	0	0	0	0.308	0	0	0.204	0.426
CFH	FN1	9606.ENSP00000356399	9606.ENSP00000346839	0	0	0	0	0.108	0	0	0.379	0.422
CFH	ITIH2	9606.ENSP00000356399	9606.ENSP00000351190	0	0	0	0	0.108	0	0	0.595	0.624
CFH	SPP1	9606.ENSP00000356399	9606.ENSP00000378517	0	0	0	0	0	0	0	0.708	0.708
CHST4	LUM	9606.ENSP00000341206	9606.ENSP00000266718	0	0	0	0	0	0	0	0.437	0.437
CIB4	TCF23	9606.ENSP00000288861	9606.ENSP00000296096	0	0	0	0	0.062	0	0	0.523	0.533
CLIC6	ITGBL1	9606.ENSP00000290332	9606.ENSP00000365351	0	0	0	0	0	0	0	0.472	0.472
COL1A1	PCOLCE	9606.ENSP00000225964	9606.ENSP00000223061	0	0	0	0	0.544	0.173	0.900	0.415	0.975
COL1A1	SERPINE1	9606.ENSP00000225964	9606.ENSP00000223095	0	0	0	0	0.213	0.059	0	0.562	0.647
COL1A1	KLF4	9606.ENSP00000225964	9606.ENSP00000363804	0	0	0	0	0.062	0.057	0	0.391	0.414
COL1A1	VCAM1	9606.ENSP00000225964	9606.ENSP00000294728	0	0	0	0	0.112	0	0	0.379	0.424
COL1A1	PRG4	9606.ENSP00000225964	9606.ENSP00000399679	0	0	0	0	0	0.059	0	0.423	0.433
COL1A1	SFRP2	9606.ENSP00000225964	9606.ENSP00000274063	0	0	0	0	0.154	0	0	0.358	0.434
COL1A1	OGN	9606.ENSP00000225964	9606.ENSP00000262551	0	0	0	0	0.124	0.076	0	0.372	0.447
COL1A1	MFAP2	9606.ENSP00000225964	9606.ENSP00000364685	0	0	0	0	0.287	0	0	0.279	0.464
COL1A1	TWIST1	9606.ENSP00000225964	9606.ENSP00000242261	0	0	0	0	0.172	0	0	0.405	0.487
COL1A1	COL8A2	9606.ENSP00000225964	9606.ENSP00000380901	0	0	0.419	0.739	0.140	0	0.300	0.391	0.490
COL1A1	KRT19	9606.ENSP00000225964	9606.ENSP00000355124	0	0	0	0	0.156	0	0	0.427	0.495
COL1A1	MARCO	9606.ENSP00000225964	9606.ENSP00000318916	0	0	0.433	0.706	0	0	0.540	0.054	0.596
COL1A1	MMP14	9606.ENSP00000225964	9606.ENSP00000308208	0	0	0	0	0.287	0.059	0	0.448	0.597
COL1A1	SOST	9606.ENSP00000225964	9606.ENSP00000301691	0	0	0	0	0	0	0	0.633	0.633
COL1A1	VIM	9606.ENSP00000225964	9606.ENSP00000446007	0	0	0	0	0.172	0.077	0	0.573	0.645
COL1A1	SPP1	9606.ENSP00000225964	9606.ENSP00000378517	0	0	0	0	0.063	0	0	0.714	0.720
COL1A1	COL2A1	9606.ENSP00000225964	9606.ENSP00000369889	0	0	0.445	0.971	0.085	0.043	0.720	0.858	0.743
COL1A1	COL6A3	9606.ENSP00000225964	9606.ENSP00000295550	0	0	0	0.574	0.768	0	0.300	0.702	0.880
COL1A1	SERPINH1	9606.ENSP00000225964	9606.ENSP00000434412	0	0	0	0	0.400	0.183	0.600	0.665	0.925
COL1A1	COL6A2	9606.ENSP00000225964	9606.ENSP00000300527	0	0	0	0.602	0.882	0.178	0.300	0.742	0.948
COL1A1	FN1	9606.ENSP00000225964	9606.ENSP00000346839	0	0	0	0	0.356	0.701	0	0.757	0.949
COL1A1	LUM	9606.ENSP00000225964	9606.ENSP00000266718	0	0	0	0	0.764	0.379	0.720	0.580	0.980
COL1A1	COL3A1	9606.ENSP00000225964	9606.ENSP00000304408	0	0	0.439	0.951	0.944	0	0.800	0.892	0.989
COL2A1	PCOLCE	9606.ENSP00000369889	9606.ENSP00000223061	0	0	0	0	0.079	0.321	0.900	0.101	0.936
COL2A1	MIA	9606.ENSP00000369889	9606.ENSP00000263369	0	0	0	0	0	0	0	0.460	0.460
COL2A1	LUM	9606.ENSP00000369889	9606.ENSP00000266718	0	0	0	0	0.067	0.189	0.720	0.415	0.859
COL2A1	SLC26A2	9606.ENSP00000369889	9606.ENSP00000286298	0	0	0	0	0	0	0	0.420	0.420
COL2A1	COL6A3	9606.ENSP00000369889	9606.ENSP00000295550	0	0	0	0.565	0.066	0	0.300	0.422	0.436
COL2A1	COL6A2	9606.ENSP00000369889	9606.ENSP00000300527	0	0	0	0.595	0.087	0.178	0.300	0.406	0.516
COL2A1	COL3A1	9606.ENSP00000369889	9606.ENSP00000304408	0	0	0.429	0.952	0.088	0	0.720	0.659	0.746
COL2A1	MARCO	9606.ENSP00000369889	9606.ENSP00000318916	0	0	0.432	0.681	0	0	0.540	0	0.599
COL2A1	FN1	9606.ENSP00000369889	9606.ENSP00000346839	0	0	0	0	0.063	0.225	0	0.475	0.585
COL2A1	PAX1	9606.ENSP00000369889	9606.ENSP00000381499	0	0	0	0	0.062	0	0	0.433	0.446
